"s","a","b1","b2"
"3",-2.53418429880875e-14,-24.9900954435702,-44.890817380395
"4",-8.8022430721613e-15,9.48636792186369,-14.0642362012141
"6",3.43770558090108e-14,2.11258731004425,-21.153996452567
"8",-1.0435548999155e-14,-0.429873069586598,23.092974562459
"11",-2.09167072483112e-14,-3.9385196366013,-35.7216645976825
"12",4.2934909132636e-15,-2.24933415254082,-7.01187202573551
"13",-5.59487539784803e-16,5.1853724614476,7.99634289620392
"10",2.61797777422748e-14,-28.0486887532534,-41.8494639063224
"15",1.35205210370277e-14,11.3197300622231,-39.855076203332
"16",-3.26322425576605e-14,-31.1127755336959,-72.9706629838847
"19",-4.49388554726012e-14,8.10238792880048,-19.0885229226662
"18",1.94804864389116e-15,21.2422069764919,8.76050957381598
"21",3.00982059162128e-14,-2.62597841117982,9.74031426016006
"23",-4.45185904007687e-14,-46.4937459175436,17.1687501418986
"24",6.44985840169802e-16,-7.90865174705906,11.9789882113457
"25",-1.52467930561884e-14,-9.21499112311386,4.00589707340659
"17",1.68356020922806e-14,3.08912617719361,-24.3803902388081
"27",3.53363374018281e-15,14.3995413890145,4.86945636417016
"26",-2.11297227345173e-14,-14.6950076167438,-36.8767690526716
"28",5.00167096188016e-14,-8.56105012641109,-1.07256396967941
"29",-3.27146614314724e-14,8.43684134860898,-10.6948120376261
"30",-1.13753721615143e-14,-18.0814071440236,-22.2420996734418
"31",-1.10673454914558e-14,-4.13709259163534,-19.9847917698429
"33",2.26231683806511e-14,14.3532889262824,-4.75873003761374
"34",1.69339221033582e-14,29.8305891182813,3.17102072921555
"36",3.58089558962782e-14,-11.224072318273,-14.360974324654
"37",-9.48421676617845e-15,-18.6351613884807,-8.70082978664876
"38",-6.83059362865405e-14,-18.9915974364145,7.65462089117128
"41",-9.57246924671869e-15,-36.9583387062839,-10.5622231091857
"45",-2.60382281416021e-14,-32.5190342701306,-23.8189033975861
"46",2.4670943022066e-14,-4.18797589446513,-51.5177020376771
"47",-2.15721252411961e-14,26.0092397309412,32.7901389959754
"49",-7.75524229392468e-15,17.9725528155856,6.91071651566646
"48",4.57301228965554e-14,0.00555075846915968,-5.62710468748056
"50",3.95299813002743e-14,23.4881365651688,-21.6397795357316
"51",5.89659984519349e-14,-7.37261893423935,-40.0675665824369
"52",1.26253049705027e-13,3.24700915491479,-138.349142815753
"53",-2.74590854830149e-14,-14.3206107003317,-4.58908274533193
"57",-2.71719344383051e-14,-21.1031755532292,-12.0808367085338
"55",9.20806661752934e-15,2.27396252514339,-18.2810045184718
"58",5.03876653323934e-15,1.36686481610772,-7.84566474250813
"56",-4.32101508747832e-14,23.098237208957,-41.9897069958356
"59",4.42900210281219e-15,4.65153844328761,-4.75344175457238
"60",4.46880933378219e-14,3.81307386346835,-2.69905409357303
"42",-5.2982812753578e-15,23.1005667478303,-25.8995775435686
"44",-1.02311539268011e-14,-42.6036194714981,2.18851580834597
"62",-7.07933411709343e-14,-7.98224267073864,0.317123373028038
"67",-9.44261111620873e-15,-12.4681730674839,-69.2853001194228
"68",1.77714765377667e-14,-17.575890836133,-13.1368632830755
"72",-7.30037772047503e-15,59.3639352850424,18.7460482167522
"74",-5.67982680095846e-14,-5.55180186267693,0.427665629804029
"75",3.89579765395915e-14,16.9999754650858,-4.77445964882305
"76",-1.47359149079709e-13,75.5808568644953,-62.6982858069374
"77",-3.29250372774084e-14,27.7282304571191,7.09249729878964
"78",-1.7507589266027e-15,8.18738283922561,-28.2388670714597
"80",-6.75769168138332e-14,30.5586171072924,-46.8624937358697
"79",-3.26200414696437e-14,-6.7364560552263,-11.1788491235171
"82",-1.81570218401585e-14,75.5857449925099,-3.19567320679638
"84",3.77092603432411e-15,19.8892235914874,46.7578674395923
"83",-3.92170335659303e-14,-3.83427106302321,-16.6156270566572
"85",4.78567316590684e-15,7.87442265386267,-4.35005724768563
"87",4.5933548077274e-15,9.35902881748271,-24.4873299216959
"107",1.47748342351813e-14,83.2923793918671,-8.74894772746001
"109",3.96138116936748e-15,1.29872479402823,14.4080123534329
"110",-2.37737421584495e-15,-16.7747883619338,-10.8339956230924
"111",3.22981472927915e-15,-12.5306246404797,-12.7143851588725
"112",3.99378292514822e-14,75.8219350090978,1.16875921772068
"116",3.84677705790444e-14,80.7767325184774,-25.2154783919863
"115",5.12968974534856e-14,27.3334512302593,0.553830168128719
"113",-5.17866798782433e-15,52.1388642873108,-19.7134098921934
"114",-1.19168520834974e-14,10.6011684948007,-34.6008702667031
"118",-2.95804488310623e-14,-36.3694026905797,-9.48508459886152
"119",-1.41443627929583e-14,42.3157889611282,4.66203054475416
"120",1.73020777152298e-14,-0.461181107876648,-28.7692676656862
"121",3.06542114351776e-14,49.3829656162782,-3.56783858755288
"122",1.16075522360933e-14,20.9768100622079,-28.3945501758753
"123",4.8577110889659e-14,23.8006886148779,-26.2011560404618
