subject,pitch,ioi,tempo,loudness,tap_condition,key_press,tap_times,true_score,response,rt,error,tapped,tap_type,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,cooks
1,4,710,2,0,False,,,31.58063,27.0,4512.719999998808,-4.580629999999999,False,0,0,1,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-5.497345320497217,0.002697632735709483
1,7,329,5,1,False,,,87.0672,90.0,4844.2550000036135,2.9328000000000003,False,0,0,2,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,7.968220936775779,0.014412209435775699
1,6,710,2,2,False,,,31.58063,31.0,2583.980000053998,-0.5806299999999993,False,0,0,3,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-1.4973453204972174,0.00024385785073449725
1,4,358,5,0,False,,,80.9736,83.0,4429.515000025276,2.0263999999999953,False,0,0,4,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,6.408150331160073,0.007539516395626242
1,5,550,3,1,False,,,50.0,50.0,582.8299999702722,0.0,False,0,0,5,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,1.059161339913878,9.8487672596355e-05
1,3,302,5,0,False,,,93.24415,79.0,1621.8649999937043,-14.244150000000005,False,0,0,6,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-8.546118740767142,0.01065811330438451
1,2,425,4,2,False,,,68.59844,48.0,4346.949999977369,-20.598439999999997,False,0,0,7,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-17.54419158206177,0.02320144999404816
1,7,1000,1,1,False,,,6.87518,0.0,2752.6850000140257,-6.87518,False,0,0,8,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-10.442087529039247,0.02723096955981811
1,3,710,2,0,False,,,31.58063,32.0,3271.3000000221655,0.4193700000000007,False,0,0,9,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-0.49734532049721736,4.270950167396937e-05
1,6,1000,1,1,False,,,6.87518,24.0,3935.044999991078,17.12482,False,0,0,10,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,13.557912470960753,0.03399216472447422
1,2,710,2,2,False,,,31.58063,33.0,2266.8849999899976,1.4193700000000007,False,0,0,11,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,0.5026546795027826,6.479301486731854e-06
1,7,599,3,1,False,,,43.84378,47.0,1542.2249999828637,3.1562199999999976,False,0,0,12,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,3.5549925262549635,0.0007815804570111178
1,2,843,1,0,False,,,19.19495,9.0,1924.8549999902025,-10.194949999999999,False,0,0,13,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-12.440297839205282,0.022457536879911123
1,7,425,4,1,False,,,68.59844,75.0,1537.7999999909662,6.4015600000000035,False,0,0,14,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,9.45580841793823,0.008657607570357804
1,5,1000,1,0,False,,,6.87518,6.0,2059.290000004694,-0.8751800000000003,False,0,0,15,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-4.442087529039247,0.0060328084822706485
1,4,463,4,1,False,,,62.42097,57.0,2888.035000010859,-5.420969999999997,False,0,0,16,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-3.0293913537940895,0.0003918790681704616
