trial_type,trial_index,time_elapsed,internal_node_id,subject,tap_condition,code_version,tap_times,stimulus,key_press,event,button_pressed,response,experiment,valid_key_press,valid_tap_times,pref_rate,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope
audio-multiple-response,17,84739,0.0-6.0,22,False,v1.1,"[405, 2107, 3131, 3669, 4144, 4629, 5088, 5552, 6043, 6501, 6992, 8021, 8453, 8912, 9675, 11899, 12917, 13739, 14437, 14619, 14800, 14976]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[  405  2107  3131  3669  4144  4629  5088  5552  6043  6501  6992  8021
  8453  8912  9675 11899 12917 13739 14437 14619 14800 14976]",491.0,6,0,0,90.0,0.9244037150788775,47.674772400286166,75.2281051361615
audio-multiple-response,17,153128,0.0-6.0,23,True,v1.1,"[911, 1376, 1921, 2421, 2937, 3489, 4000, 4522, 5056, 5567, 6084, 6647, 7175, 7709, 8208, 8725, 9201, 9677, 10037, 10588, 11105, 11674, 12156, 12701, 13206, 13764, 14303, 14820]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74]","[  911  1376  1921  2421  2937  3489  4000  4522  5056  5567  6084  6647
  7175  7709  8208  8725  9201  9677 10037 10588 11105 11674 12156 12701
 13206 13764 14303 14820]",517.0,6,0,0,62.0,0.9355877313641875,50.92392566359929,67.31882240713492
audio-multiple-response,17,138560,0.0-6.0,27,True,v1.1,"[693, 869, 1013, 1152, 1301, 1456, 1600, 1765, 2069, 2229, 2389, 2533, 2699, 2859, 3024, 3195, 3344, 3493, 3653, 3813, 3957, 4112, 4277, 4427, 4581, 4757, 4928, 5115, 5285, 5451, 5627, 5819, 5995, 6176, 6341, 6523, 6672, 6853, 7056, 7243, 7419, 7611, 7803, 7989, 8144, 8304, 8480, 8656, 8837, 9019, 9205, 9376, 9541, 9717, 9904, 10091, 10352, 10603, 10795, 10981, 11163, 11429, 11627, 11829, 11984, 12165, 12315, 12512, 12688, 12848, 13019, 13195, 13376, 13541, 13680, 13840, 14005, 14165, 14299, 14443, 14624, 14800, 14928]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74]","[  693   869  1013  1152  1301  1456  1600  1765  2069  2229  2389  2533
  2699  2859  3024  3195  3344  3493  3653  3813  3957  4112  4277  4427
  4581  4757  4928  5115  5285  5451  5627  5819  5995  6176  6341  6523
  6672  6853  7056  7243  7419  7611  7803  7989  8144  8304  8480  8656
  8837  9019  9205  9376  9541  9717  9904 10091 10352 10603 10795 10981
 11163 11429 11627 11829 11984 12165 12315 12512 12688 12848 13019 13195
 13376 13541 13680 13840 14005 14165 14299 14443 14624 14800 14928]",171.0,6,0,0,51.0,0.8910064777022435,55.51008539913853,60.57242745459796
audio-multiple-response,17,187435,0.0-6.0,25,False,v1.1,"[411, 576, 688, 827, 976, 1120, 1248, 1403, 1525, 1659, 1797, 2069, 2203, 2341, 2475, 2624, 2779, 2928, 3056, 3200, 3344, 3483, 3637, 3776, 3915, 4064, 4208, 4352, 4635, 4917, 5077, 5227, 5371, 5515, 5659, 5803, 5947, 6107, 6251, 6405, 6544, 6704, 6848, 6981, 7131, 7419, 7568, 7717, 7872, 8000, 8144, 8288, 8432, 8581, 8731, 8885, 9024, 9163, 9323, 9472, 9611, 9776, 9915, 10048, 10197, 10341, 10491, 10640, 10773, 10901, 11045, 11189, 11323, 11488, 11616, 11765, 11915, 12080, 12213, 12373, 12512, 12661, 12811, 12960, 13120, 13269, 13429, 13579, 13712, 13861, 14016, 14160, 14299, 14453, 14603, 14763, 14907]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74]","[  411   576   688   827   976  1120  1248  1403  1525  1659  1797  2069
  2203  2341  2475  2624  2779  2928  3056  3200  3344  3483  3637  3776
  3915  4064  4208  4352  4635  4917  5077  5227  5371  5515  5659  5803
  5947  6107  6251  6405  6544  6704  6848  6981  7131  7419  7568  7717
  7872  8000  8144  8288  8432  8581  8731  8885  9024  9163  9323  9472
  9611  9776  9915 10048 10197 10341 10491 10640 10773 10901 11045 11189
 11323 11488 11616 11765 11915 12080 12213 12373 12512 12661 12811 12960
 13120 13269 13429 13579 13712 13861 14016 14160 14299 14453 14603 14763
 14907]",144.0,6,0,0,42.0,0.9015849854868647,49.20513858087864,56.228288427331016
audio-multiple-response,17,216962,0.0-6.0,28,False,v1.1,"[633, 1155, 1649, 2247, 2810, 3413, 3994, 4563, 5161, 5706, 6310, 6891, 7454, 7947, 8539, 9172, 9770, 10414, 10983, 11569, 12138, 12696, 13230, 13868, 14472]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74]","[  633  1155  1649  2247  2810  3413  3994  4563  5161  5706  6310  6891
  7454  7947  8539  9172  9770 10414 10983 11569 12138 12696 13230 13868
 14472]",581.0,5,0,1,21.0,0.9586858740146272,53.332075187841426,40.742567973871594
audio-multiple-response,17,89007,0.0-6.0,29,True,v1.1,"[579, 1360, 2851, 3659, 4419, 5131, 5811, 6499, 7179, 7859, 8611, 9320, 9949, 10651, 11331, 12091, 12509, 12699, 13229, 13899, 14571]",,"[70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 74, 74, 70, 70, 70, 70]",tapping_test,,,IT2,[70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 74 74 70 70 70 70],"[  579  1360  2851  3659  4419  5131  5811  6499  7179  7859  8611  9320
  9949 10651 11331 12091 12509 12699 13229 13899 14571]",684.0,5,1,0,4.0,0.8662567901022726,53.62699608129034,37.201673220483144
audio-multiple-response,17,92901,0.0-6.0,30,True,v1.1,"[1620, 4534, 5114, 5706, 6374, 6920, 7465, 8063, 8626, 9143, 9648, 10136, 10635, 11192, 11773, 12341, 12875, 13380, 13944, 14454, 14983]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[ 1620  4534  5114  5706  6374  6920  7465  8063  8626  9143  9648 10136
 10635 11192 11773 12341 12875 13380 13944 14454 14983]",551.5,5,0,1,59.0,0.8076876976704112,47.18830142301857,61.0031133514387
audio-multiple-response,17,221726,0.0-6.0,31,False,v1.1,"[109, 1229, 2331, 3360, 4429, 5440, 6549, 7600, 8600, 9629, 10680, 11680, 12509, 13469, 14341]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[  109  1229  2331  3360  4429  5440  6549  7600  8600  9629 10680 11680
 12509 13469 14341]",1029.0,4,2,0,30.0,0.8456665460375659,50.742388950468225,43.87865363331904
audio-multiple-response,17,399480,0.0-6.0,32,True,v1.1,"[800, 1440, 2429, 3040, 3539, 4069, 4589, 5099, 5611, 6080, 6499, 6989, 7451, 7909, 8331, 8771, 9171, 9739, 10259, 10749, 11200, 11611, 12019, 12491, 12939, 13429, 13789, 14269]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74]","[  800  1440  2429  3040  3539  4069  4589  5099  5611  6080  6499  6989
  7451  7909  8331  8771  9171  9739 10259 10749 11200 11611 12019 12491
 12939 13429 13789 14269]",480.0,4,1,1,40.0,0.8498088604864389,48.373052772859985,50.6044883862833
audio-multiple-response,17,167567,0.0-6.0,34,True,v1.1,"[1029, 1741, 2309, 2920, 3509, 4051, 4651, 5240, 5829, 6400, 6949, 7531, 8120, 8661, 9269, 9840, 10389, 10960, 11549, 12109, 12669, 13261, 13880, 14400, 15000]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74]","[ 1029  1741  2309  2920  3509  4051  4651  5240  5829  6400  6949  7531
  8120  8661  9269  9840 10389 10960 11549 12109 12669 13261 13880 14400
 15000]",585.5,5,0,1,21.0,0.9337109490382676,52.17996305905816,49.07784768732621
