subject,range,pitch,ioi,tempo,loudness,true_score,response,rt,error,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,illusory_tempo,cooks
1,0,4,918,65.359477124183,1,13.046873249910696,0,4321.299999952316,-13.046873249910696,0,1,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-6.252663883358679,-9.569502045628953,0.0025705043127452576
1,0,3,652,92.02453987730061,1,37.727982709047225,24,3346.100000023842,-13.727982709047225,0,2,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-14.505686241372587,-22.200488743607693,0.003251414787265769
1,0,2,1000,60.0,0,6.875176187496734,0,2802.6999999284744,-6.875176187496734,0,3,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,1.812446952541734,2.7738920791989656,6.2081882973371e-05
1,0,1,652,92.02453987730061,1,37.727982709047225,43,3357.5,5.272017290952775,0,4,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,4.494313758627413,6.87840343079197,0.00013405788023160582
1,0,2,504,119.04761904761905,0,56.30039424560527,55,3507.2999999523163,-1.3003942456052684,0,5,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-7.77592439750606,-11.900803532176967,0.0007228648170064004
1,0,1,1000,60.0,0,6.875176187496734,8,3862.3000000715256,1.1248238125032657,0,6,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,9.812446952541734,15.017636152630404,0.0018232919551403957
1,0,2,652,92.02453987730061,0,37.727982709047225,44,2740.399999976158,6.272017290952775,0,7,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,5.494313758627413,8.4088714399709,0.00023070078375747165
1,0,5,1000,60.0,1,6.875176187496734,0,3268.5,-6.875176187496734,0,8,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,1.812446952541734,2.7738920791989656,6.2081882973371e-05
1,0,0,599,100.1669449081803,1,43.84378078116181,49,8441.300000071526,5.156219218838189,0,9,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,2.5022511536787277,3.8296153416363623,2.7711049978488514e-05
1,0,3,390,153.84615384615384,1,74.79787473312055,80,4266.0,5.202125266879449,0,10,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-6.94824342224527,-10.63406427773431,0.0007503093058132483
1,0,0,843,71.17437722419929,2,19.194949373496982,34,12750.0,14.805050626503018,0,11,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,19.713092882920115,30.170258019282077,0.007670238791326797
1,0,4,710,84.50704225352112,0,31.580629700998873,41,3886.899999976158,9.419370299001127,0,12,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,10.527612032331675,16.112173428530806,0.0012593289985379824
1,0,0,425,141.1764705882353,2,68.5984388693479,70,2248.100000023842,1.401561130652098,0,13,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-8.846883803368229,-13.53987264197829,0.0011165842115057666
1,0,2,302,198.67549668874173,1,93.24415345434716,100,2378.200000047684,6.755846545652844,0,14,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-11.053652500508477,-16.91726153660891,0.0033474950251979265
1,0,0,710,84.50704225352112,1,31.580629700998873,26,2782.3000000715256,-5.580629700998873,0,15,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-4.472387967668325,-6.84484670915314,0.0005957728653959245
1,0,4,463,129.58963282937364,1,62.42097125758927,74,2653.399999976158,11.579028742410728,0,16,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,3.2257679276179516,4.936934618254688,0.0001468600287967065
1,0,0,302,198.67549668874173,0,93.24415345434716,100,4091.700000047684,6.755846545652844,0,17,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-11.053652500508477,-16.91726153660891,0.0033474950251979265
1,0,5,463,129.58963282937364,0,62.42097125758927,78,4042.0,15.579028742410728,0,18,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,7.225767927617952,11.058806654970406,0.0007055984361851876
1,0,1,504,119.04761904761905,1,56.30039424560527,100,3367.1999999284744,43.69960575439473,0,19,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,37.22407560249394,56.97025688087487,0.015475845321602476
1,0,5,302,198.67549668874173,2,93.24415345434716,100,2611.600000023842,6.755846545652844,0,20,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-11.053652500508477,-16.91726153660891,0.0033474950251979265
1,0,1,425,141.1764705882353,0,68.5984388693479,81,2438.5,12.401561130652098,0,21,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,2.153116196631771,3.295275458989935,0.00011111464921803036
1,0,5,599,100.1669449081803,2,43.84378078116181,50,4646.0,6.156219218838189,0,22,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,3.5022511536787277,5.360083350815293,7.440583106130878e-05
1,0,2,463,129.58963282937364,0,62.42097125758927,58,4367.0,-4.420971257589272,0,23,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,-12.774232072382048,-19.550553528608187,0.0020847901067035327
1,0,3,599,100.1669449081803,1,43.84378078116181,50,4134.5,6.156219218838189,0,24,6,0,0,81.0,0.9003488729557858,54.54263339394523,65.33949053508692,3.5022511536787277,5.360083350815293,7.440583106130878e-05
