experiment,subject,pitch,ioi,tempo,tempo_range,loudness,tap_condition,key_press,tap_times,true_score,response,rt,error,tapped,tap_type,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,illusory_tempo,cooks
IT1,1,5,710,84.50704225352112,2,-16,True,,,31.580629700998873,24.0,3452.564999985043,-7.580629700998873,False,1,0,1,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-14.76636503589529,-26.231268310737804,0.03326126820017108
IT1,1,6,1000,60.0,1,-16,True,,,6.875176187496734,19.0,9667.070000024978,12.124823812503266,False,1,0,2,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-3.143251215415223,-6.270875404243566,0.004070705681068099
IT1,1,3,463,129.58963282937364,4,-16,True,,,62.42097125758927,50.0,4216.755000001285,-12.420971257589272,False,1,0,3,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-9.517350549174814,-17.806045458671125,0.012392890563626057
IT1,1,7,329,182.370820668693,5,-19,True,,,87.06720173383901,74.0,3767.7350000012666,-13.067201733839013,False,1,0,4,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-2.1006160305623354,-4.235634209182374,0.0028552514821984483
IT1,1,4,1000,60.0,1,-13,True,,,6.875176187496734,24.0,3347.1649999846704,17.124823812503266,False,1,0,5,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,1.8567487845847772,3.8996220975523834,0.0010483675405955446
IT1,1,5,329,182.370820668693,5,-13,True,,,87.06720173383901,79.0,4055.6499999947846,-8.067201733839013,False,1,0,6,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,2.8993839694376646,6.155706233153102,0.0010424028758808637
IT1,1,7,652,92.02453987730061,2,-13,True,,,37.727982709047225,50.0,763.1050000200048,12.272017290952775,False,1,0,7,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,7.097376194695357,15.746130369214741,0.005111360206651751
IT1,1,4,358,167.5977653631285,5,-13,True,,,80.97360155738828,70.0,4475.894999981392,-10.973601557388278,False,1,0,8,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-2.0005249614274163,-4.037944959863899,0.0020255708686632203
IT1,1,5,918,65.359477124183,1,-16,True,,,13.046873249910696,28.0,2653.280000027735,14.953126750089304,False,1,0,9,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,1.7041100694945932,3.5733861148230104,0.0006319964297133191
IT1,1,6,302,198.67549668874173,5,-13,True,,,93.24415345434716,72.0,2944.344999967143,-21.244153454347156,False,1,0,10,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-8.256790352863277,-15.643370499705094,0.0322442024313413
IT1,1,2,390,153.84615384615384,4,-16,True,,,74.79787473312055,61.0,2813.6499999673106,-13.797874733120551,False,1,0,11,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-6.845174813012292,-13.153926569528052,0.01090663250190199
IT1,1,4,774,77.51937984496124,2,-19,True,,,25.354902613380577,25.0,1978.0749999918044,-0.3549026133805775,False,1,0,12,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-9.577372110257862,-17.907626945685593,0.01803055098449691
IT1,1,2,358,167.5977653631285,5,-16,True,,,80.97360155738828,67.0,2741.6599999996834,-13.973601557388278,False,1,0,13,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-5.000524961427416,-9.78974808310141,0.00823271432769923
IT1,1,6,463,129.58963282937364,4,-19,True,,,62.42097125758927,50.0,1036.0299999592826,-12.420971257589272,False,1,0,14,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-9.517350549174814,-17.806045458671125,0.012392890563626057
IT1,1,2,550,109.0909090909091,3,-13,True,,,50.0,50.0,2058.1149999634363,0.0,False,1,0,15,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-1.1598751900208484,-2.3613930934538274,0.0003070204273605584
IT1,1,5,425,141.1764705882353,4,-19,True,,,68.5984388693479,62.0,3365.029999986291,-6.598438869347902,False,1,0,16,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-1.6738719899356909,-3.389931081031278,0.0008983056927367237
IT1,1,3,599,100.1669449081803,3,-16,True,,,43.84378078116181,37.0,2162.1950000408106,-6.843780781161811,False,1,0,17,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-10.017650772944464,-18.648933885485338,0.01136704252797511
IT1,1,7,1000,60.0,1,-19,True,,,6.875176187496734,23.0,2277.044999995269,16.124823812503266,False,1,0,18,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,0.8567487845847772,1.7808530618407303,0.00017272233651603996
IT1,1,4,463,129.58963282937364,4,-16,True,,,62.42097125758927,62.0,2148.6300000105985,-0.42097125758927234,False,1,0,19,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,2.4826494508251855,5.248145669370645,0.0003495087137058755
IT1,1,6,710,84.50704225352112,2,-13,True,,,31.580629700998873,28.0,2851.635000028182,-3.5806297009988732,False,1,0,20,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-10.76636503589529,-19.89422206805628,0.018058321124198484
IT1,1,7,425,141.1764705882353,4,-19,True,,,68.5984388693479,63.0,1792.284999974072,-5.598438869347902,False,1,0,21,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-0.6738719899356909,-1.3788021073026802,0.0003226944515000464
IT1,1,6,550,109.0909090909091,3,-19,True,,,50.0,50.0,455.66500001586974,0.0,False,1,0,22,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-1.1598751900208484,-2.3613930934538274,0.0003070204273605584
IT1,1,3,774,77.51937984496124,2,-19,True,,,25.354902613380577,21.0,2256.6149999620393,-4.3549026133805775,False,1,0,23,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-13.577372110257862,-24.401829706672743,0.03545147734123802
IT1,1,2,1000,60.0,1,-19,True,,,6.875176187496734,20.0,3593.429999949876,13.124823812503266,False,1,0,24,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-2.143251215415223,-4.3197189640712,0.001986125220799571
IT1,1,5,550,109.0909090909091,3,-19,True,,,50.0,50.0,559.8400000017136,0.0,False,1,0,25,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-1.1598751900208484,-2.3613930934538274,0.0003070204273605584
