trial_type,trial_index,time_elapsed,internal_node_id,subject,tap_condition,experiment,code_version,tap_times,stimulus,key_press,event,button_pressed,response,valid_key_press,valid_tap_times,pref_rate,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope
audio-multiple-response,17,175608,0.0-6.0,89,True,ITLT,v1.0,"[3631, 8530, 8911, 10272, 10852, 10963]",,"[32, 107, 107, 187, 16, 187]",tapping_test,,,[],[],,4,2,0,21.0,0.8939456001561206,51.18974355941426,51.34219657487034
audio-multiple-response,17,174996,0.0-6.0,92,True,ITLT,v1.0,"[488, 768, 1040, 1328, 1629, 1928, 2208, 2499, 2749, 3008, 3269, 3528, 3779, 4059, 4309, 4579, 4859, 5139, 5429, 5648, 5909, 6179, 6419, 6659, 7019, 7219, 7480, 7720, 7979, 8219, 8448, 8688, 8949, 9219, 9459, 9709, 9949, 10280, 10509, 10760, 10979, 11208, 11440, 11669, 11899, 12128, 12368, 12589, 12808, 13029, 13248, 13469, 13699, 13909, 14128, 14360, 14568, 14819]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74]","[  488   768  1040  1328  1629  1928  2208  2499  2749  3008  3269  3528
  3779  4059  4309  4579  4859  5139  5429  5648  5909  6179  6419  6659
  7019  7219  7480  7720  7979  8219  8448  8688  8949  9219  9459  9709
  9949 10280 10509 10760 10979 11208 11440 11669 11899 12128 12368 12589
 12808 13029 13248 13469 13699 13909 14128 14360 14568 14819]",250.0,5,0,1,58.0,0.8304705454857975,50.52414294086226,48.120765886728876
audio-multiple-response,17,194558,0.0-6.0,93,False,ITLT,v1.0,"[540, 1126, 1463, 1672, 1887, 2078, 2276, 2479, 2682, 2879, 3094, 3291, 3500, 3715, 3918, 4122, 4319, 4534, 4748, 4946, 5155, 5381, 5584, 5793, 6020, 6264, 6467, 6664, 6873, 7076, 7303, 7506, 7726, 7918, 8115, 8330, 8539, 8760, 8969, 9178, 9404, 9625, 9839, 10043, 10223, 10449, 10652, 10855, 11070, 11291, 11465, 11668, 11865, 12063, 12260, 12481, 12684, 12904, 13119, 13334, 13549, 13758, 13961, 14141, 14344, 14547, 14768, 14965]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74]","[  540  1126  1463  1672  1887  2078  2276  2479  2682  2879  3094  3291
  3500  3715  3918  4122  4319  4534  4748  4946  5155  5381  5584  5793
  6020  6264  6467  6664  6873  7076  7303  7506  7726  7918  8115  8330
  8539  8760  8969  9178  9404  9625  9839 10043 10223 10449 10652 10855
 11070 11291 11465 11668 11865 12063 12260 12481 12684 12904 13119 13334
 13549 13758 13961 14141 14344 14547 14768 14965]",209.0,6,0,0,44.0,0.8337269938729595,55.63132944373848,57.82326796644621
audio-multiple-response,17,178777,0.0-6.0,96,False,ITLT,v1.0,"[443, 917, 1563, 2251, 2907, 3595, 4325, 5040, 5712, 6395, 7152, 7835, 8464, 9093, 9701, 10352, 11051, 11803, 12549, 13195, 13931, 14661]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[  443   917  1563  2251  2907  3595  4325  5040  5712  6395  7152  7835
  8464  9093  9701 10352 11051 11803 12549 13195 13931 14661]",683.0,6,0,0,8.0,0.9521276103399237,47.46946020575493,52.198191961546904
audio-multiple-response,17,232746,0.0-6.0,99,False,ITLT,v1.0,"[837, 1520, 2181, 2805, 3483, 4059, 4693, 5280, 5861, 6432, 7024, 7573, 8139, 8693, 9285, 9813, 10357, 10923, 11419, 11963, 12469, 13056, 13573, 14080, 14629]",,"[70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70]",tapping_test,,,"[70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70
 70]","[  837  1520  2181  2805  3483  4059  4693  5280  5861  6432  7024  7573
  8139  8693  9285  9813 10357 10923 11419 11963 12469 13056 13573 14080
 14629]",568.5,5,1,0,24.0,0.9424199502739667,53.21859206796016,53.27254570398256
audio-multiple-response,17,191585,0.0-6.0,100,False,ITLT,v1.0,"[419, 968, 1520, 1989, 2549, 3120, 3629, 4160, 4709, 5229, 5779, 6309, 6829, 7360, 7888, 8429, 8949, 9488, 9989, 10488, 11069, 11589, 12128, 12680, 13240, 13760, 14299, 14800]",,"[70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70]",tapping_test,,,"[70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70
 70 70 70 70]","[  419   968  1520  1989  2549  3120  3629  4160  4709  5229  5779  6309
  6829  7360  7888  8429  8949  9488  9989 10488 11069 11589 12128 12680
 13240 13760 14299 14800]",531.0,6,0,0,32.0,0.9484728509979085,56.69479711427469,62.378371990618405
audio-multiple-response,17,152587,0.0-6.0,102,False,ITLT,v1.0,"[645, 1360, 2240, 2955, 3749, 4416, 5344, 6373, 7307, 8144, 9019, 9893, 10731, 11493, 12256, 13061, 13867, 14656]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[  645  1360  2240  2955  3749  4416  5344  6373  7307  8144  9019  9893
 10731 11493 12256 13061 13867 14656]",806.0,5,1,0,29.0,0.7693081841975609,54.2667881538498,39.36785419298337
audio-multiple-response,17,138235,0.0-6.0,103,True,ITLT,v1.0,"[580, 1132, 1472, 1820, 2171, 2711, 3230, 3532, 4072, 4580, 5091, 5622, 6162, 6670, 6960, 7221, 7741, 8240, 8742, 9172, 9671, 10170, 10710, 11413, 11862, 12350, 12902, 13450]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74]","[  580  1132  1472  1820  2171  2711  3230  3532  4072  4580  5091  5622
  6162  6670  6960  7221  7741  8240  8742  9172  9671 10170 10710 11413
 11862 12350 12902 13450]",508.0,6,0,0,39.0,0.9017085991950027,53.21453845703927,59.38857864030847
audio-multiple-response,17,185851,0.0-6.0,106,True,ITLT,v1.0,"[469, 811, 989, 1240, 1501, 1771, 2000, 2261, 2520, 2760, 2989, 3221, 3440, 3661, 3891, 4131, 4341, 4571, 4789, 5021, 5251, 5464, 5691, 5931, 6181, 6389, 6640, 6861, 7141, 7349, 7621, 7861, 8109, 8341, 8600, 8829, 9069, 9341, 9581, 9829, 10091, 10371, 10589, 10840, 11101, 11331, 11581, 11800, 12051, 12301, 12541, 12789, 13051, 13301, 13549, 13781, 14051, 14301, 14549, 14824]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74]","[  469   811   989  1240  1501  1771  2000  2261  2520  2760  2989  3221
  3440  3661  3891  4131  4341  4571  4789  5021  5251  5464  5691  5931
  6181  6389  6640  6861  7141  7349  7621  7861  8109  8341  8600  8829
  9069  9341  9581  9829 10091 10371 10589 10840 11101 11331 11581 11800
 12051 12301 12541 12789 13051 13301 13549 13781 14051 14301 14549 14824]",240.0,6,0,0,52.0,0.932599063513093,46.07701782017676,56.461449867901
audio-multiple-response,17,131976,0.0-6.0,107,True,ITLT,v1.0,"[59, 443, 827, 1216, 1627, 1952, 2304, 2699, 3088, 3488, 3867, 4219, 4640, 5115, 5515, 6080, 6507, 6939, 7376, 7819, 8267, 8709, 9131, 9584, 10037, 10459, 10896, 11355, 11776, 12165, 12560, 12987, 13381, 13771, 14149, 14576, 15003]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74]","[   59   443   827  1216  1627  1952  2304  2699  3088  3488  3867  4219
  4640  5115  5515  6080  6507  6939  7376  7819  8267  8709  9131  9584
 10037 10459 10896 11355 11776 12165 12560 12987 13381 13771 14149 14576
 15003]",421.0,6,0,0,40.0,0.9196100036250541,56.38479097135891,49.05910169570191
