"s","tap","a","b1","b2"
"1","1",-11.5615018007316,29.6296865078133,15.4039167111052
"1","2",6.08500094775354,-4.5551203373658,-9.31598021777913
"2","2",-0.259239230948891,15.6728451624092,-31.646618023292
"3","0",5.07985354704564e-14,-62.0188796982131,-74.6637062072635
"4","0",1.08674477666863e-13,53.9520727089005,-110.296460129922
"8","0",-5.20427277442449e-14,2.14566984489424,-3.59264154446399
"6","1",2.04736248921784,40.7657082027349,22.3873777776674
"6","2",-4.77717914150827,-7.83320995804971,-21.0611631284564
"9","2",-0.333146034063999,-6.04479402932351,-17.44111513368
"10","1",-0.763531402975817,-7.5274806924071,-22.466855341516
"10","2",0.111984605769758,-22.7134836196277,8.8467533215852
"11","0",2.56448398266403e-14,-22.8676267795816,-43.3042566005683
"13","2",0.0568783601460298,-29.2277324465084,28.8764311604127
"17","0",2.99974006573391e-15,16.4964127808484,-17.0251376803525
"18","0",2.2917015311496e-14,-15.1389787003489,-2.21375048364462
"19","0",1.56059887049483e-14,-10.8479717886429,0.27532558679032
"23","0",-3.02571706662652e-14,-3.83706368432033,15.260479803244
"25","0",-2.05607609882149e-15,8.73970583764523,-70.1682992803926
"27","1",-8.552397117651,9.10607027480933,20.7899675155825
"27","2",0.305442754201839,33.8957866625486,-12.539123387042
"28","2",-6.93535400478895e-14,4.21535518932486,-14.1190497859691
"29","0",-6.3012264390107e-14,8.90756566279656,-81.8442374882035
"31","1",-1.5449125714172,-30.4640278682854,4.54076709326952
"31","2",3.14704412696111,5.33682037477288,20.8629381177258
"32","2",4.42603903729459e-14,41.3694745855186,-9.20139203613227
"35","2",0.227084943412038,5.58574650941323,-30.3987347386299
"36","1",0.790361206587752,6.02321917387234,-8.6324883845205
"36","2",-1.42265017185793,5.10093347648198,-2.25406428499551
"37","0",-5.5611265367945e-14,8.27474315032831,-6.79645838644663
"38","2",-5.87055715780925e-14,28.5632597590717,-41.5544859293063
"42","1",-1.20272159753085,43.4085647648974,-54.3820811622521
"45","0",1.67336438692149e-14,33.7785895404419,-21.7736672631465
"46","0",6.07719025834215e-14,39.7889582405267,-51.9147391166619
"50","0",-1.2153945457828e-14,13.4365940453367,-31.7765420051415
"48","1",-0.0810396402455012,-13.5194660214514,-20.26836270382
"48","2",2.215083500042,-18.4570332519066,-6.63033799710355
"49","0",1.50541906676569e-15,-20.0048369862768,2.05106578140963
"57","0",-7.89874133378173e-14,-7.55363553258685,13.9087607302739
"58","1",-7.40952645016945,-91.0750086844402,-3.93945849983409
"58","2",14.2701990892151,-77.6593244582081,132.071603210618
"59","0",-3.95003599439155e-14,-12.6106696726312,-18.8779956908629
"61","0",4.65318046434245e-14,-28.1236678041702,-12.7002957106175
"60","0",-4.03141335019042e-14,2.55095950209206,-27.1095773775262
"62","0",-8.94204202153085e-15,11.5733426080937,-2.05013535884091
"67","2",-1.86710634782261e-15,-3.7057718291028,-2.93299652726583
"64","0",-4.93000599814283e-14,-117.805882719638,-40.2718505242331
"68","1",0.333182273107108,-41.4451599885253,-51.4847127594512
"70","1",0.184861937801382,29.9698543541892,54.3969578781282
"71","0",-2.01012101242932e-15,-9.16124972703239,-43.2950425185196
"73","0",-2.6474928218864e-14,-21.2955347539368,-8.67700789345104
"74","2",4.84634985535621e-15,-29.0865297961916,-15.3236485463001
"76","1",-0.0370132441442367,-14.1748561770691,-36.7964027745306
"76","2",0.356252474888737,-34.3694866643465,6.76315355965363
"1001","0",1.13940269510689e-14,26.0140165300931,-27.305351093618
"1002","1",-8.0918597580141,-14.1873239553071,6.9464333008041
"1002","2",4.18544470242108,14.0091193813297,10.6340807647101
"1004","2",1.35369690926556e-14,22.3935640146063,4.4516378806001
"1005","1",-20.0264504450299,28.9611524231924,51.9498691871077
"1005","2",3.20423207120485,59.1960843828248,-39.3777055851175
"1007","2",-2.39151800788551e-14,4.70390495491201,-21.024523161299
"1008","0",4.94490225330134e-14,18.0454985193908,-10.4895785667623
"1009","0",-3.14020115242804e-14,24.1865094241504,-13.0146173137423
"1010","0",-5.37963187656611e-14,12.2002291935991,-27.0517309381734
"1012","1",-1.77743612287986,20.2928408418223,13.5519287154369
"1012","2",1.12798830875071,-3.82863893468181,-12.2333102960516
"1013","1",2.07681370325811,7.40107915825586,38.4399950162156
"1013","2",-0.649004282268148,24.4319502648663,13.7945883326373
"1015","1",0.193139534247785,37.6944134870969,-15.0791315246782
"1014","0",8.0519110531362e-15,-18.1113426881276,-29.2176953069827
"1016","0",-2.49621533630068e-14,0.679163303389222,-10.4190977970499
"1017","0",3.26448987258947e-14,17.3151072423296,-51.3031564572721
"1019","0",-4.12146931813287e-14,1.25372667644201,-18.7534932534585
"1021","0",2.04112073623174e-14,12.2324545209161,23.9139208774913
"1023","2",0.0143422529229483,-13.9505524936516,-14.5513481083943
"1027","1",24.257206832662,17.7308740888395,30.0538936843396
"1027","2",-1.21286034163312,7.83372403576997,-38.1779426723566
"1025","0",4.86112424255294e-14,20.2044418090871,-9.2334025000646
"1028","0",1.65033860832717e-14,7.83628212886099,-4.19967085509869
"1029","1",3.18662033099335,17.6086601234849,-25.792106077581
"1029","2",-2.12441355399561,-35.8426238580304,-50.7392296093295
"1030","1",3.1748683451211,-3.07292007988034,-13.9599999252029
"1030","2",-9.97815765609488,15.4326487299813,-11.2451677356836
"1031","0",-3.30392072040749e-14,-6.13041575799087,-20.723937212169
"1032","1",-20.3515370502532,-5.90112270604155,-13.4853538828195
"1032","2",0.72684060893762,6.87705692057703,39.0851533761024
"1034","1",-1.29151134341803,-22.9880177559844,5.15837861748538
"1034","2",1.45708972077933,-13.3076412624428,9.5642445644998
"1039","1",-7.92434757648869,36.1372331214938,-24.7126509354955
"1039","2",6.69167128681263,14.4133983163216,23.4817635794554
"1040","1",-2.10760045119783,17.8226871234177,-10.2389944959652
"1040","2",6.42316327984099,0.416362628113284,-19.8583452656011
"1041","0",-3.03723845885608e-14,17.1137354567138,-56.8293660690351
"1042","0",6.29127721758846e-14,-1.0942314991786,-15.6276746591596
"1043","0",3.13875029563733e-14,3.0458314465723,-15.6284756736664
"1044","0",-3.32578953838541e-14,19.2530087955659,-19.3114082553094
"1045","2",5.45145446902898e-15,5.00764841857872,-21.037752381665
"1046","1",1.2450137610639,75.042187576617,2.13534312357871
"1046","2",-2.57895707648972,24.6515323561703,-10.1813856808855
"1051","0",1.42860166640147e-14,7.11564974236128,-22.8955397856807
"1052","0",-1.53222623691033e-15,20.1159615373634,-9.79433024782991
"1053","2",0.346029373778257,30.9037811889516,-4.48358651570891
"1058","2",-2.94591302002624e-14,-2.18256857398015,-9.0370371697724
"1056","1",-3.75706178671092e-14,24.0589563381503,-21.4030969299707
"1060","0",4.9351327461437e-14,-18.1861337360476,-4.36158494102722
