"s","a","b1","b2","b3","b4","b5"
"1",4.54355879159744e-14,14.2862708695851,1.07935618037921,7.60311551024444,17.0043715960234,2.53825471211404
"2",6.8873815970078e-14,17.749638230349,-32.2086998256631,-5.70077763573058,-7.49187360432727,21.9680071222702
"3",5.17778819705262e-14,-62.0188796982131,-74.6637062072635,-62.7129662132652,-23.6332769060268,9.83108929700744
"4",1.08915818424609e-13,53.9520727089005,-110.296460129922,64.4781879582278,78.8282645623252,25.0102588305048
"8",-5.17700305685712e-14,2.14566984489424,-3.592641544464,-12.4992204077493,6.03674344688159,1.04912249314474
"6",1.02654137104249e-14,28.9807582215876,5.81920816908298,10.7755800932563,-8.847837268244,5.26697025379422
"9",-4.55138856563005e-14,-1.17816069494536,-12.5335813689122,4.81637638116951,24.2522147396999,5.96777999015701
"10",-2.52692219419857e-14,-23.9977959426286,-0.083906518110072,19.5446469393069,25.1308878587069,17.0781542663676
"11",2.60009232375477e-14,-22.8676267795816,-43.3042566005683,4.81579128236306,-33.4242674505264,19.7638231964324
"13",-9.28257169601212e-15,-29.0603686097658,29.3582403901127,-32.5836734011614,35.7091657622907,-41.435808542881
"17",3.0451115180988e-15,16.4964127808484,-17.0251376803525,5.60732485665348,-13.3142864699801,-15.1418711251319
"18",2.32651038749766e-14,-15.1389787003489,-2.21375048364462,-2.64974799720597,12.267780960028,14.4652429388685
"19",1.53958649406186e-14,-10.8479717886429,0.275325586790322,-20.1705171573681,-10.8968228902244,15.2690996767817
"23",-3.05875271341913e-14,-3.83706368432034,15.260479803244,2.39250817384816,-15.0459974525906,-32.9398507940281
"25",-1.27434425828392e-15,8.73970583764523,-70.1682992803926,-20.2467011348906,-15.8094940961716,-24.6978403987448
"27",1.90079701608735e-14,35.0588717289135,-9.41021597231703,-12.4025139273213,-8.79621213570242,-8.24200086366186
"28",-6.91677595131982e-14,4.21535518932486,-14.1190497859691,18.9653114756531,16.257773565218,6.19488869100493
"29",-6.3155239872902e-14,8.90756566279656,-81.8442374882035,2.88789851429142,19.6328826003871,28.2936213588843
"31",4.43152441026535e-14,-21.9857632073148,16.5463597339928,9.9255388239914,20.0942871246754,-3.32581031636591
"32",4.47028881419409e-14,41.3694745855186,-9.20139203613227,-21.0998662320488,22.6407022639094,-15.5081168676968
"35",-3.06889924365916e-14,7.37360008495454,-29.8718281749477,7.37684573540762,7.81190386816,8.93290061283718
"36",8.97237605216818e-15,8.01465630891303,-6.72838069889877,-8.59575731277071,8.78361931166538,12.1108682334079
"37",-5.46251232848295e-14,8.27474315032832,-6.79645838644663,21.9725226329984,17.572806509609,6.99926935038867
"38",-5.88703671980541e-14,28.5632597590717,-41.5544859293063,22.8074879851331,17.2681257828606,-15.3623629252843
"42",2.91816534477414e-14,25.9669211903342,-36.6623496223108,-8.85497621749007,13.5470200788801,-45.0854489476648
"45",1.69816778289381e-14,33.7785895404419,-21.7736672631465,-2.85489365189595,39.8182027811069,3.11974817211475
"46",6.02048804261319e-14,39.7889582405267,-51.9147391166619,8.8255581204102,9.33784679665698,8.98356454873788
"50",-1.21478936326705e-14,13.4365940453367,-31.7765420051415,4.80117046126014,-0.449583714223255,-4.0682192962486
"48",-6.06666639011149e-14,-16.2323985658652,-17.188285129938,-10.9730725452218,-10.5443357809909,-7.60018278256708
"49",1.9458456807705e-15,-20.0048369862768,2.05106578140964,-4.25286776987908,2.25037680742312,-26.2622439952756
"57",-7.66624360357204e-14,-7.55363553258685,13.9087607302739,-42.7789094916217,53.9562214069407,44.490550949056
"58",-4.53256790376687e-14,-120.916034104221,81.0894978178244,68.8085899093745,10.1451249556787,30.3868588129253
"59",-3.95626514660636e-14,-12.6106696726312,-18.8779956908629,-24.5007027393478,4.68435311972736,2.62097192610266
"61",4.63541281562832e-14,-28.1236678041702,-12.7002957106175,-13.3254626304472,3.86239938464008,20.1315869064168
"60",-4.05064752086232e-14,2.55095950209206,-27.1095773775262,-13.3867477474848,-12.44150576162,14.2250218461605
"62",-8.72521216129327e-15,11.5733426080937,-2.05013535884091,4.30942821576845,-8.72250678961265,-22.2481104785498
"67",-2.04250087975065e-15,-3.70577182910279,-2.93299652726583,19.5308381995382,-3.97651674724584,1.37305934941463
"64",-4.83430442435741e-14,-117.805882719638,-40.2718505242331,-3.37839543980993,27.1709974432907,-47.8333058345755
"68",7.98654202333027e-14,-43.6986806449453,-50.6481165509197,20.6816676060638,-39.614015352376,34.0888037193551
"70",-6.4489402166684e-14,30.4379055533987,55.7913070619782,24.9079341369033,56.6937007593832,40.6690584499989
"71",-1.59569459195268e-15,-9.1612497270324,-43.2950425185196,-45.5636664776031,-22.3265885883734,8.50361454930233
"73",-2.58345059717759e-14,-21.2955347539368,-8.67700789345104,15.9858518384656,-7.08861474954386,-17.6667783633169
"74",5.41824112925317e-15,-29.0865297961916,-15.3236485463001,-10.3501021980293,-16.4069973721887,-14.1313654379156
"76",4.21380217899799e-14,-24.810860981649,-30.674741611001,-31.4893862015739,9.91118952170038,-19.1306740336826
"1001",1.10060406197098e-14,26.0140165300931,-27.305351093618,-14.8528933700224,-15.3783884196368,27.7594388059981
"1002",-4.50289970575318e-15,2.93951657796285,13.4863632933655,-9.16083467986463,-26.9586963832726,29.654650489758
"1004",1.35196158591989e-14,22.3935640146063,4.4516378806001,-0.0693900786694605,18.371527863994,-11.9382645156299
"1005",4.45348191945707e-14,67.7189758768202,-20.1194952620225,19.0374344708742,92.5924265553495,-45.3232147891673
"1007",-2.385655408602e-14,4.70390495491201,-21.024523161299,-1.98135728474431,-0.478687419995473,11.481706290167
"1008",4.9318192003361e-14,18.0454985193907,-10.4895785667623,6.02251667215263,30.6513673426689,10.6356353035978
"1009",-3.18198577271051e-14,24.1865094241504,-13.0146173137423,-22.0702548035819,-21.4057287888857,-12.9434454061675
"1010",-5.40249141523739e-14,12.2002291935991,-27.0517309381734,43.1844639344382,4.35502641202892,-1.30430623800397
"1012",1.70174604156565e-14,8.41875108019772,-0.455013044531622,-4.78071504607707,18.9631253757937,-3.1427714605792
"1013",-2.74667006539426e-16,25.5655400851335,29.1920599280019,-18.0509195884513,-5.75491367515062,2.22062745546176
"1015",1.94959785084707e-14,35.9347871717451,-14.5301985863361,-21.4012126323535,12.3919031556313,-14.2241585662218
"1014",8.20827304836754e-15,-18.1113426881276,-29.2176953069827,4.0278302906424,9.07284037723642,-18.1046406219505
"1016",-2.49806433459473e-14,0.679163303389219,-10.4190977970499,7.17040770075547,12.9262113611288,25.2454768274302
"1017",3.14905719252392e-14,17.3151072423296,-51.3031564572721,86.8143468799926,23.0249858632422,33.7015183320202
"1019",-4.02330673680278e-14,1.25372667644201,-18.7534932534585,16.0560229090702,14.6498498809617,-16.8793592123485
"1021",1.98524085414765e-14,12.2324545209161,23.9139208774913,-15.0536421056123,-1.88285196257196,19.9995718154072
"1023",4.53164660368361e-14,-14.0054939371583,-14.5458575966042,-23.3295179828093,3.89291713419906,-7.08271998677767
"1027",-1.96458848152966e-14,7.74427712774034,-36.1298109720628,-13.2532437258239,6.90083804325366,-29.0208361894315
"1025",4.80567861752531e-14,20.2044418090871,-9.23340250006461,5.23016695973095,1.32785419697703,15.5013638045784
"1028",1.68028857352417e-14,7.83628212886099,-4.19967085509868,23.8829284425109,-3.35699920838519,2.91822238384596
"1029",-2.88029937398827e-14,-21.2495255967388,-62.4546960452337,-13.8463476725891,-12.1925422121222,29.2063229765583
"1030",9.75944905966441e-16,10.203632961123,-20.9783480760563,-42.3832562515386,-15.0925795982625,-40.2788838888607
"1031",-3.40211128478558e-14,-6.13041575799086,-20.723937212169,-16.5207828039739,-62.3798473539863,-25.2866589375312
"1032",4.22354281864e-15,4.06354945427066,43.0474841879791,6.17674678080065,-17.5228629488669,-8.18542601441997
"1034",8.6183725197949e-15,-24.8961932722381,8.78601195163041,-5.82676858490584,-30.675742281332,-38.042694605099
"1039",-2.37076496380983e-14,33.4801509630783,2.41485831257462,10.249823445535,-3.56207853750597,-6.59901963815887
"1040",-4.46759639773042e-15,15.2724657640628,-19.2203530136356,8.62926176477481,36.5725201872541,14.228657909828
"1041",-3.0325845181785e-14,17.1137354567138,-56.8293660690351,8.1881040233714,6.47747922213171,26.4659076406251
"1042",6.27472556811241e-14,-1.0942314991786,-15.6276746591596,24.1445223512064,0.387670008286123,13.8115162871694
"1043",2.95037546464134e-14,3.0458314465723,-15.6284756736664,-17.9540569687101,-15.8418049384328,6.27569705737942
"1044",-3.39973182846722e-14,19.2530087955659,-19.3114082553094,-18.4743371556103,8.98881590875854,-4.43064368099067
